uuid,name,brand,gender,price,description,primary_color,label,size,kids
06a00c0f-5f9a-410d-a7da-3881a9df3a71,DKNY Unisex Black & Grey Printed Medium Trolley Bag,DKNY,Unisex,140.94,"Black and grey printed medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketsWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer", Black,dress,S,false
28b09463-6bbb-491d-9ffc-f36df5c6b211,EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,EthnoVogue,Women,69.72,"Beige & Grey made to measure kurta with churidar and dupattaBeige made to measure calf length kurta, has a V-neck, three-quarter sleeves, lightly padded on bust, flared hem, concealed zip closureGrey solid made to measure churidar, drawstring closureGrey net sequined dupatta, has printed tapingWhat is Made to Measure?Customised Kurta Set according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure bust?Measure under your arms and around your chest to find your bust size in inchesHow to measure Kurta length?Measure from shoulder till barefoot to find kurta length in", Beige,dress,S,false
3f844e1e-4a00-4b64-8c1d-3b847191bf11,SPYKAR Women Pink Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,SPYKAR,Women,10.79,"Pink coloured wash 5-pocket high-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops", Pink,dress,XL,true
31ae3916-c352-45fe-9866-a8947fc74991,Raymond Men Blue Self-Design Single-Breasted Bandhgala Suit,Raymond,Men,67.19,"Blue self-design bandhgala suitBlue self-design bandhgala blazer, has a mandarin collar, single breasted with full button placket, long sleeves, three pockets, an attached lining and a double-vented back hemBlue self-design mid-rise trousers, has a zip fly with a button and a hook-and-bar closure, four pockets, a waistband with belt loops",Blue,hat,XS,false
4ceed2f1-8e20-4439-9c27-cceb8d2257a4,Parx Men Brown & Off-White Slim Fit Printed Casual Shirt,Parx,Men,9.11,"Brown and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket", White,dress,L,false
35f157d0-53e4-4496-b087-da4ad63edd47,SHOWOFF Men Brown Solid Slim Fit Regular Shorts,SHOWOFF,Men,9.49,"Brown solid low-rise regular shorts, has four pockets, a button closure", Brown,dress,M,false
8c6b26f9-e3d4-483b-99bd-db4f6beff442,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,Men,8.63,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",Blue,dress,L,false
50d248fe-de40-4bb6-9bff-3e8babecba31,SPYKAR Women Burgundy Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,SPYKAR,Women,10.79,"Burgundy coloured wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops", Burgundy,dress,M,false
5a2b4bbf-d9fe-45a2-aa0d-295a86804cb6,Parx Men Brown Tapered Fit Solid Regular Trousers,Parx,Men,7.97,Brown solid regular trousers regular trousers, Red,dress,L,true
2a12baab-f020-42e3-8e6b-5d82e3ed0b55,DKNY Unisex Black Large Trolley Bag,DKNY,Unisex,208.32,"Black solid large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip pocketOne exterior zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer", Black,hat,XS,false
bac70656-a50a-4a13-8c3f-63e3a0a28338,Kenneth Cole Women Navy Blue Solid Backpack,Kenneth Cole,Women,29.56,Navy Blue backpackNon-Padded haul loop1 main compartment with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: No,Blue,dress,XS,true
7f60d367-31dd-49ad-80ae-b5223364f386,Parx Men Green Printed Polo Collar T-shirt,Parx,Men,7.55,"Green printed T-shirt, has a polo collar, and short sleeves", Green,dress,M,false
c6bc821e-631a-4221-9d92-7c7685edebd0,Police Men To Be The King Eau De Toilette 125 ml,Police,Men,32.34,To Be The King Eau De Toilette ,,dress,S,true
cbf45350-1a65-4cec-abad-0f64a4a459eb,Vishudh Women Maroon Printed Kurta with Palazzos,Vishudh,Women,10.7,"Maroon printed kurta with palazzos Maroon straight calf length kurta, has a round neck, three-quarter sleeves, straight hem, side slitsMaroon  Printed palazzos, has elasticated waistband, slip-on closure", Maroon,dress,S,false
ee7b4f87-ab2e-4387-9c7e-76f7da060f1e,Parx Men Red Slim Fit Checked Casual Shirt,Parx,Men,9.02,"Red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket", Red,dress,S,false
7b5181d5-253f-4936-9207-60e3368bf9e1,Being Human Clothing Navy Printed Casual Slim Shirt,Being Human,Men,12.95,"Navy blue printed casual shirt, has a spread collar, a full button placket, two pockets, long sleeves, a curved hem", Navy,hat,L,true
11f2ff4e-6b43-4071-b5b1-2036ec0fe8fe,Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,Homesake,Unisex,19.44,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and whitePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb, White,longsleeve,XS,true
d9afe9d4-8bb3-4449-9e4b-85fcf030ba1b,SEJ by Nisha Gupta Set of 6 Mustard & Blue Printed Table Placemats,SEJ by Nisha Gupta,Unisex,10.79,Set content: 6 table mats Shape: Rectangle Colour: Mustard and blue Pattern: Printed Suitable For: 6 seater table Material: Cotton ,Blue,dress,L,true
facbf570-2a46-43cd-b58b-ea03df3e7919,YAK YAK Men Camel Brown Solid Polo Collar T-shirt,YAK YAK,Men,7.19,"Camel brown solid T-shirt, has polo collar, short sleeves", Brown,dress,S,true
1b93822d-09f4-41e6-b31b-964cc104ba71,PARFAIT Plus Size Black Striped Non-Wired Lightly Padded T-shirt Bra P5252,PARFAIT,Women,20.99,Black striped medium-coverage T-shirt braLightly Padded and Non-Wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort, Red,longsleeve,XS,true
1f2c3551-4c76-433e-8c9f-8093b94f02bf,Michael Kors Women Sexy Amber Eau de Parfum 100ml,Michael Kors,Women,95.04,Michael Kors Sexy Amber Eau de ParfumFragrance Notes:Top notes - amberHeart notes - sandalwoodBase - white flowers,,longsleeve,M,true
24c1d77c-5ce2-4b5c-be2c-1aeccae3efe2,HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt,HIGHLANDER,Men,8.39,"Mustard and black checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket", Black,longsleeve,S,true
28fc3fad-5363-4c70-9c5d-ee739d2e21a8,SEJ by Nisha Gupta Set of 6 Multicoloured Printed Table Placemats,SEJ by Nisha Gupta,Unisex,10.79,Set content: 6 table matsShape: RectangleColour: MulticolouredPattern: PrintedSuitable For: 6 seater tableMaterial: Cotton, Red,longsleeve,XL,false
3f0be386-9a59-4aeb-93f6-dbe63e3a3002,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Ankle Jeans,SPYKAR,Women,14.39,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",Blue,hat,S,false
3132e018-4cc7-4767-a2b6-0ac61321809a,JEWEL JUNCTION Gold-Toned Square Cufflinks,JEWEL JUNCTION,Men,6.47,A pair of gold-toned square solid cufflinks, Gold,longsleeve,S,true
341e1658-0cba-4ac2-aa39-e5b174e318fd,ID Men Tan Brown Fisherman Leather Sandals,ID,Men,28.62,A pair of tan brown fisherman sandalsLeather upper with velcro closureCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer, Brown,longsleeve,M,false
368ef683-0c8c-4ba1-a73b-d784b851165a,Story@home Multicoloured Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,Unisex,14.39,Set content: 1 King bedsheet with 2 pillow coversQuality: Fine Thread count: 210Colour: MulticolouredPattern: Geometric, Red,longsleeve,L,false
6c2f18d0-30ff-468c-a470-39c65abf4851,Raymond Men Blue Slim Fit Printed Formal Shirt,Raymond,Men,12.95,"Blue printed formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket",Blue,hat,XS,true
3c4d6cf5-113b-4a26-8e60-e8ab594eaa0e,Gini and Jony Boys Navy Blue Regular Fit Solid Casual Shirt,Gini and Jony,Boys,8.39,"Navy Blue solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue,longsleeve,L,true
49431f72-6423-4fd9-953b-d55bf8f4830a,SEJ by Nisha Gupta Set of 6 Printed Table Placemats,SEJ by Nisha Gupta,Unisex,10.79,Set content: 6 table mats Shape: Rectangle Colour: Pink and blue Pattern: Printed Suitable For: 6 seater table Material: Cotton ,,longsleeve,M,false
4cd7315a-395b-4958-b8e5-e38f09b3c6b2,Sera Women Blue Printed Kurta with Palazzos,Sera,Women,17.24,"Blue printed kurta with palazzos Blue A-line calf length kurta, has a round neck, short sleeves, flared hem Blue solid palazzos, button closure",Blue,longsleeve,XL,true
4e0f02de-645d-4615-a13b-749d8027c85b,AccessHer Women Gold-Toned & Pink Gold-Plated AD-Studded Maang Tikka,AccessHer,Women,11.75,"Gold-toned and pink gold-plated maang tikka with arificial stoned and beads studded, gold-platedSecured with a fish-hook ear wire", Pink,longsleeve,XL,false
5280b156-7db0-47f2-918c-6b0b6592955b,Parx Men Blue Slim Fit Printed Casual Shirt,Parx,Men,9.35,"Blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",Blue,longsleeve,L,false
54a7aa48-feef-4689-93ba-cc475f93c4e7,Alcis Women Yellow & Blue Colorblocked Tights,Alcis,Women,8.99,"Alcis Women  Yellow & Blue Colorblocked Tights, three-fouth length, elasticated waist",Blue,longsleeve,XS,false
58d54528-9eb3-4188-beca-892932f360a7,ID Men Brown Leather Formal Slip-Ons,ID,Men,11.47,"A pair of brown square-toed formal slip-on shoes, has elasticated gussets on both sidesLeather upper, has a textured detailCushioned footbedTextured TPR outsoleWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer", Brown,longsleeve,XL,true
6017e83a-f717-48d6-8f68-f4b614c215a8,Difference of Opinion Men Navy Blue Solid Round Neck T-shirt With Side Strip Detail,Difference of Opinion,Men,5.99,"Navy Blue Solid T-shirt, has a round neck, long sleeves, has side stripes in the sleeves",Blue,longsleeve,XS,true
63fd7e77-fa32-44a2-964b-8ab764ca9efa,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,Men,9.23,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one pocket",Blue,longsleeve,XS,true
64b0151b-6138-470c-b699-8fb6db3898f2,Michael Kors Extreme Blue For Men Edt 70 ml,Michael Kors,Men,51.3,"What it is:Extreme Blue For Men EdWhat it does:Masculine and sensuous at the same time is this 'Blue Eau De Toilette' from Michael Kors. Exuding unmatched freshness, this EDT is a must-have in your collection of fragrances. Available in a 70 ml pack, this EDT has top notes of bergamot, spicy pink pepper and invigorating cardamom. The heart notes are of juniper, cypress, nutty sesame and herbaceous sage, while the base notes include warm ambrox, musk and patchouli.",Blue,longsleeve,S,false
675319cc-b2f9-4b92-a126-472d4bcefdee,Tokyo Talkies Women Off-White & Pink Floral Print Fit and Flare Dress,Tokyo Talkies,Women,5.99,"Off-White and pink printed woven fit and flare dress, has a round neck, three-quarter sleeves, concealed zip closure,, flared hem", White,longsleeve,M,false
6b7e076a-5c7b-46c4-8847-3be2efcc1cb4,ANNA SUI Women La Vie De Boheme EDT 75ml,ANNA SUI,Women,55.2,"ANNA SUI La Vie De Boheme Eau De ToiletteStrong perfumeLasts 2 to 3 hoursFresh FragranceTop notes: Turkish rose, sparkling pear, berries and pitahaya accordHeart notes: Red magnolia, peony, pink freesiaBase notes: dry woods, sandalwood, musk and black vanillaIt comes in a 75 ml bottle.",,longsleeve,L,true
78a07855-5a8e-496f-a516-a69e3784bbf1,HIGHLANDER Men Navy Blue & Maroon Slim Fit Checked Casual Shirt,HIGHLANDER,Men,8.39,"Navy Blue and maroon checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",Blue,hat,XS,false
